quote_id,topic_id,section_number,quote_text,attribution,active,sort_order
39,23,39,"katham na jneyam asmabhih
papad asman nivartitum
kula-ksaya-kritam dosam
prapasyadbhir janardana

""Namun mengapa kita tidak mengetahui dosa itu, untuk melenyapkan dari perbuatan dosa, oleh karna itu kita menyadari dengan jelas bahwa membasmi keluarga merupakan suatu dosa. """,Bhagawadgita BAB I,1,39
40,23,40,"kula-ksaye pranasyanti
kula-dharmah sanatanah
dharme naste kulam krtsnam
adharmo ’bhibhavaty uta

""Dengan hancurnya semua keluarga, adat istiadat keluarga yang turun temurun akan hancur dan lenyapnya tradisi keluarga akan dikuasai oleh ketidakpastian hukum. """,Bhagawadgita BAB I,1,40
41,23,41,"adharmabhibhavat krishna
pradusyanti kula-striyah
strisu dustasu varsneya
jayate varna-sankarah

""Bila adharma berkecamuk wahai Krsna, kaum wanita menjadi tidak suci dan bila kaum wanita sudah menjadi tidak suci lagi, aturan tentang warna menjadi kacau, wahai Krsna. """,Bhagawadgita BAB I,1,41
42,23,42,"sankaro narakayaiva
kula-ghnanam kulasya ca
patanti pitaro hy esam
lupta-pindodaka-kriyah
 
""Keruntuhan moral ini membawa keluarga dan para pembunuhnya ke neraka, arwah nenek moyang jatuh, semua terpana, air dan nasi tidak ada lagi baginya. """,Bhagawadgita BAB I,1,42
43,23,43,"dosair etaih kula-ghnanam
varna-sankara-karakaih
utsadyante jati-dharmah
kula-dharmas ca sasvatah 

""Karena dosa dan kehancuran keluarga ini membawa keruntuhan bagi hukum golongan (varna dharma), kebiasaan keluarga dan hukum keluarga hancur untuk selama lamanya. """,Bhagawadgita BAB I,1,43
44,23,44,"utsanna-kula-dharmanam
manushyanam janardana
narake niyatam vaso
bhavatity anususruma

""Kami sudah mendengar semuanya ini, wahai Janardana, bahwa manusia yang kebudayaan dan hukumnya musnah, neraka-lah tempatnya yang abadi.""",Bhagawadgita BAB I,1,44
45,23,45,"aho bata mahat papam
kartum vyavasita vayam
yad rajya-sukha-lobhena
hantum sva-janam udyatah

""Ah, betapa besar dosa kita, merencanakan pembunuhan sanak keluarga, hanya menuruti kesenangan dan loba, menginginkan kerajaan dan kenikmatan. """,Bhagawadgita BAB I,1,45
46,23,46,"yadi mam apratikaram
ashastram shastra-panayah
dhartarastra rane hanyus
tan me kshemataram bhavet

""Bagi saya, akan lebih baik apabila Kaurava dengan senjata ditangan menyerang saya dalam pertempuran tanpa senjata, tanpa perlawanan.""",Bhagawadgita BAB I,1,46
47,23,47,"sanjaya uvaca:
evam uktvarjunah sankhye
rathopastha upavisat 
visrjya sa-saram capam 
soka-samvigna-manasah 

Sanjaya Berkata: 
Setelah berkata demikian dimedan perang, Arjuna yang duduk diatas keretanya menjatuhkan busur dan anak panahnya dengan perasaan penuh diliputi duka.

disini berakhir bab ke-satu dari Upanisad Bhagavadgita ajaran tentang Brahmavidya dan Yogasastre, berupa percakapan antara Sri Krsna dan Arjuna yang berjudul: ""Arjuna Visada Yogah""",Bhagawadgita BAB I,1,47
48,24,1,"sanjaya uvaca: 
tam tatha kripayavistam
asru-purnakuleksanam
visidantam idam vakyam
uvaca madhusudanah

 Sanjaya berkata:
""Madhusudana berkata kepada dia (Arjuna) yang diliputi rasa belas kasihan dengan pelupuk mata digenangi air mata oleh rasa remuk redam dalam hati, sebagai berikut"".",Bhagawadgita BAB II,1,48
49,24,2,"Sri-bhagavan uvaca : 
kutas tva kasmalam idam
visame samupasthitam
anarya-justam asvargyam
akirti-karam arjuna

 Sri Bhagavan(Krsna) bersabda:
""Pada saat kesulitan seperti ini, darimanakah kedukaan dan kelemahan hati datang, dan sesungguhnya bukan sifat satria (anarya) tidak luhur dan memalukan serta menjauhkan diri dari orang, wahai Arjuna. """,Bhagawadgita BAB II,1,49
50,24,3,"klaibyam ma sma gamah partha 
naitat tvayy upapadyate
ksudram hridaya-daurbalyam
tyaktvottistha parantapa


""Wahai Arjuna, janganlah engkau biarkan kelemahan itu, sebab itu tidak sesuai bagimu, Lengyapkanlah kelemahan dan rasa takut itu, bangunlah wahai pahlawan yang menggetarkan musuh. """,Bhagawadgita BAB II,1,50
51,24,4,"arjuna uvaca: 
katham bhismam aham sankhye
dronam ca madhusudana
isubhih pratiyotsyami
pujarhav ari-sudana

Arjuna berkata:
""wahai Madhusudana, bagaimana mungkin saya bisa menyerang Bhisma dan Drona dengan panah dalam pertempuran ini; mereka yang patut saya hormati wahai Krsna. """,Bhagawadgita BAB II,1,51
52,24,5,"gurun ahatva hi mahanubhavan 
sreyo bhoktum bhaiksyam apiha loke
hatvartha-kamams tu gurun ihaiva
bhunjiya bhogan rudhira-pradigdhan

""Daripada membunuh guru yang mulia di dunia ini akan lebih baik menjadi peminta-minta, walaupun mabuk duniawi, tetapi tetap menjadi guru saya, sedangkan dengan membunuh mereka berarti hidup ini berlumuran darah. """,Bhagawadgita BAB II,1,52
53,24,6,"na caitad vidmah kataran no gariyo
yad va jayema yadi va no jayeyuh 
yan eva hatva na jijivisamas 
te ’vasthitah pramukhe dhartarastrah 

""Yang mana lebih menguntungkan kami tidaklah jelas; apakah kami menumpas mereka atau mereka membantai kami. Dengan membunuh mereka yang tidak kita harapkan untuk hidup, orang-orang keturunan prabu Dhrtarasta sekarang bediri siap didepan kita. """,Bhagawadgita BAB II,1,53
54,24,7,"karpanya-dosopahata-svabhavah 
prcchami tvam dharma-sammudha-cetah 
yac chreyah syan niscitam bruhi tan me 
shishyas te ’ham sadhi mam tvam prapannam 

""Oleh karena hati yang lemah, pikiran yang kacau balau tentang apa yang benar untuk dilakukan, saya bertanya kepada-Mu, katakanlah kepada saya mana yang lebih bermanfaat; saya adalah murid-Mu; ajarilah saya, saya datang untuk mendapatkan perlindungan-Mu. """,Bhagawadgita BAB II,1,54
55,24,8,"na hi prapasyami mamapanudyad
yac chokam ucchosanam indriyanam
avapya bhumav asapatnam rddham
rajyam suranam api cadhipatyam

""Saya tak melihat yang dapat mengenyahkan duka ini, yang mematikan panca indra saya walaupun seandainya saya mendapatkan kekayaan dan kekuasaan tiada taranya dibumi dan berkuasa atas para dewa di surga. """,Bhagawadgita BAB II,1,55
56,24,9,"Sanjaya uvaca: 
evam uktva hrishikesham
gudakeshah parantapah
na yotsya iti govindam
uktva tusnim babhuva ha

Sanjaya berkata:
Setelah mengemukakannya kepada Krsna, Arjuna si penakluk musuh berkata kepada Krsna: ""Aku tak mau bertempur,"" dan kemudan diam tertegun.",Bhagawadgita BAB II,1,56
57,24,10,"tam uvaca hrishikeshah 
prahasann iva bharata
senayor ubhayor madhye
visidantam idam vacah

Kepada yang tertimpa perasaan tertekan ditengah-tengah kedua pasukan itu, wahai Bharata (Dhrtarasta), sambil tersenyum Hrsikesa (Krsna) menyampaikan kata-kata ini:",Bhagawadgita BAB II,1,57
58,24,11,"Sri-bhagavan uvaca: 
asocyan anvasocas tvam
prajna-vadams ca bhasase
gatasun agatasums ca
nanusocanti panditah

Bhagavan Krsna bersabda:
""Engkau berduka kepada mereka yang tak patun engkau sedikan, namun engkau berbicara tentang kata-kata bijaksana. Orang bijaksana tak akan bersedih baik bagi yang hidup ataupun bagi yang mati. """,Bhagawadgita BAB II,1,58
59,24,12,"na tv evaham jatu nasam 
na tvam neme janadhipah
na caiva na bhavisyamah
sarve vayam atah param

""Baik Aku, Engkau dan para pemimpin ini tak pernah tidak ada sebelumnya; ataupun akan berhenti adanya sekalipun sesudah mati. """,Bhagawadgita BAB II,1,59
60,24,13,"dehino ’smin yatha dehe 
kaumaram yauvanam jara
tatha dehantara-praptir
dhiras tatra na muhyati

""Sebagaimana sang roh itu ada pada masa kecil, masa muda dan masa tua, demikian juga dengan diperolehnya badan baru, orang bijaksana tak akan tergoyahkan. """,Bhagawadgita BAB II,1,60
61,24,14,"matra-sparshas tu kaunteya
sitosna-sukha-duhkha-dah
agamapayino ’nityas
tams titiksasva bharata

""Sesungguhnya, hubungannya dengan benda-benda jasmaniah, wahai Arjuna, menimbulkan panas dan dingin, senang dan duka; yang datang dan pergi, tidak kekal, terimalah hal itu dengan sabar, wahai Arjuna. """,Bhagawadgita BAB II,1,61
62,24,15,"yam hi na vyathayanty ete 
purusham purusharsabha 
sama-duhkha-sukham dhiram 
so ’mrtatvaya kalpate 

""Sesungguhnya orang yang teguh pikirannya wahai Arjuna, yang merasa sama antara susah dan senang, orang seperti itulah yang patut hidup kekal abadi. """,Bhagawadgita BAB II,1,62
63,24,16,"nasato vidyate bhavo 
nabhavo vidyate satah
ubhayor api drsto ’ntas
tv anayos tattva-darshibhih

""Apa yang tidak ada, tak akan pernah ada (dan) apa yang ada tak akan berhenti ada, kesimpulannya keduanya telah dapat dimengerti oleh para pengamat kebenaran. """,Bhagawadgita BAB II,1,63
64,24,17,"avinasi tu tad viddhi 
yena sarvam idam tatam
vinasam avyayasyasya
na kascit kartum arhati

""Ketahuilah bahwa sesungguhnya yang meliputi semua ini tak dapat dihancurkan. Tak seorangpun dapat memusnahkan yang tak mengenal kemusnahan itu. """,Bhagawadgita BAB II,1,64
65,24,18,"antavanta ime deha 
nityasyoktah saririnah
anasino ’prameyasya
tasmad yudhyasva bharata

""Sesungguhnya, raga dari jiwa yang langgeng, tak terhancurkan dan tak terbatas ini, juga akan berakhir; karena itu bertempurlah wahai Arjuna. """,Bhagawadgita BAB II,1,65
66,24,19,"ya enam vetti hantaram
yas cainam manyate hatam 
ubhau tau na vijanito 
nayam hanti na hanyate 

""Sesungguhnya, yang memikirkan Ia sebagai pembunuh dan berpendapat bahwa Ia dapat dibunuh keduanya adalah dungu, karena Ia tak pernah membunuh dan dibunuh. """,Bhagawadgita BAB II,1,66
67,24,20,"na jayate mriyate va kadacin 
nayam bhutva bhavita va na bhuyah
ajo nityah sasvato ’yam purano
na hanyate hanyamane sarire

""Ini tak pernah lahir, juga tak pernah mati atau setelah ada tak akan berhenti ada. Ia tak dilahirkan, kekal, abadi, sejak dahulu ada; dan Dia tidak akan mati pada saat badan jasmani ini mati. """,Bhagawadgita BAB II,1,67
68,24,21,"vedavinasinam nityam 
ya enam ajam avyayam
katham sa purushah partha
kam ghatayati hanti kam 

""Ia yang mengetahui bahwa Ia tak dapat dimushahkan, langgeng, tak terlahirkan, dan tak berubah itu; bagaimana ia dapat membunuh atau menyebabkan orang lain dapat membunuh-Nya, wahai Arjuna. """,Bhagawadgita BAB II,1,68
69,24,22,"vasamsi jirnani yatha vihaya 
navani grhnati naro ’parani 
tatha sarirani vihaya jirnany 
anyani samyati navani dehi 

 ""Seperti halnya orang yang menanggalkan pakaian usang yang telah dipakai dan menggantikannya dengan yang baru. Demikian pula halnya jivatman meninggalkan badan lamanya dan memasuki jasmani yang baru. """,Bhagawadgita BAB II,1,69
70,24,23,"nainam chindanti shastrani 
nainam dahati pavakah
na cainam kledayanty apo
na sosayati marutah

""Senjata tak dapat melukai-Nya dan api tak dapat membakar-Nya; angin tak dapat mengeringkan-Nya dan air tak dapat membasahi-Nya. """,Bhagawadgita BAB II,1,70
